"Пожалуйста, выберите вариант стрижки, а ниже заполните анкету исходя из опыта - параметры клиента, которого вы стригли одним из приведенных способов",Возраст,Форма Лица,Структура волос,Густота волос,Длина волос,Цвет волос,Среднее время на укладку(минут в день),Образ жизни,Стиль,Телосложение,Стиль одежды,Использование укладочных средств,Тип укладки,Использование фена,Unnamed: 16,Unnamed: 17,Unnamed: 18
Шэг,19-28,Ромбовидная,Прямые,Средняя,Средние,Брюнет,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Четкая-монолитная,Да,Да,Нет,Никогда
Классика,46+,Овальная,Волнистые,Низкая,Средние,Шатен,25 минут ,Спортивный/Активный,Минималист,Спортивное,Уличный,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Шэг,19-28,Квадратная,Волнистые,Средняя,Длинные,Шатен,10-30,Спокойный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Французкий кроп,29-45,Квадратная,Прямые,Средняя,Короткие,Брюнет,1-10,Спортивный/Активный,Минималист,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Французкий кроп,13-18,Треугольная,Кудрявые,Средняя,Короткие,Блонд,0(не укладываете),Деловой,Экспериментатор,Среднее,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Классика,46+,Треугольная,Прямые,Высокая,Короткие,Брюнет,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Деловой,Да,Неряшливо-растрепанная,Да,Да,Нет,Раз в месяц
Андеркат,0-12,Треугольная,Волнистые,Высокая,Средние,Шатен,30 минут ,Спокойный,Экспериментатор,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Классика,0-12,Круглая,Прямые,Высокая,Средние,Блонд,30-40 минут ,Спортивный/Активный,Экспериментатор,Худощавое,Спортивный,Нет,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Классика,29-45,Овальная,Прямые,Средняя,Короткие,Брюнет,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Четкая-монолитная,Нет,Уже длинные,Нет,Раз в месяц
Ман-бун,29-45,Овальная,Прямые,Высокая,Длинные,Шатен,30 минут ,Спортивный/Активный,Минималист,Худощавое,Casual,Нет,Неряшливо-растрепанная,Да,Да,Нет,Раз в месяц
Классика,13-18,Квадратная,Волнистые,Средняя,Средние,Блонд,30-40 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Маллет,29-45,Ромбовидная,Волнистые,Средняя,Длинные,Шатен,30 минут ,Спокойный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Нет,Уже длинные,Нет,Никогда
Классика,46+,Ромбовидная,Волнистые,Высокая,Короткие,Брюнет,10-30,Деловой,Смешанный,Худощавое,Спортивный,Да,Четкая-монолитная,Нет,Нет,Нет,Никогда
Базз-кат,19-28,Овальная,Волнистые,Средняя,Короткие,Блонд,0(не укладываете),Спокойный,Минималист,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Шэг,13-18,Прямоугольная,Волнистые,Низкая,Средние,Блонд,10-30,Деловой,Экспериментатор,Спортивное,Casual,Нет,Четкая-монолитная,Да,Нет,Нет,Никогда
Классика,19-28,Овальная,Волнистые,Низкая,Средние,Брюнет,30 минут ,Спортивный/Активный,Смешанный,Среднее,Casual,Да,Четкая-монолитная,Да,Уже длинные,Нет,Раз в месяц
Серферская укладка,19-28,Ромбовидная,Волнистые,Средняя,Длинные,Седой,30-40 минут ,Спортивный/Активный,Минималист,Худощавое,Спортивный,Да,Четкая-монолитная,Да,Уже длинные,Нет,Никогда
Маллет,46+,Прямоугольная,Прямые,Низкая,Средние,Рыжий,25 минут ,Деловой,Минималист,Худощавое,Casual,Да,Естественная,Да,Нет,Нет,Никогда
Базз-кат,13-18,Ромбовидная,Волнистые,Низкая,Короткие,Блонд,1-10,Спортивный/Активный,Минималист,Спортивное,Casual,Нет,Неряшливо-растрепанная,Нет,Уже длинные,Нет,Редко
Крю-кат,19-28,Овальная,Прямые,Средняя,Короткие,Шатен,0(не укладываете),Творческий,Экспериментатор,Среднее,Деловой,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Шторки,0-12,Овальная,Волнистые,Средняя,Длинные,Шатен,30 минут ,Спокойный,Экспериментатор,Худощавое,Casual,Да,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Базз-кат,19-28,Круглая,Волнистые,Средняя,Короткие,Блонд,1-10,Спортивный/Активный,Смешанный,Спортивное,Спортивный,Нет,Естественная,Да,Уже длинные,Нет,Никогда
Помпадур,19-28,Ромбовидная,Волнистые,Средняя,Средние,Блонд,30-40 минут ,Деловой,Минималист,Спортивное,Casual,Да,Естественная,Да,Уже длинные,Нет,Раз в месяц
Французкий кроп,19-28,Овальная,Прямые,Средняя,Короткие,Блонд,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Уже длинные,Нет,Никогда
Классика,29-45,Овальная,Волнистые,Низкая,Средние,Шатен,1-10,Деловой,Экспериментатор,Спортивное,Деловой,Нет,Естественная,Нет,Нет,Нет,Раз в месяц
Шэг,0-12,Треугольная,Волнистые,Средняя,Длинные,Рыжий,20,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Базз-кат,0-12,Овальная,Прямые,Низкая,Короткие,Шатен,1-10,Деловой,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Уже длинные,Нет,Раз в месяц
Серферская укладка,19-28,Квадратная,Волнистые,Средняя,Средние,Шатен,10-30,Деловой,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Классика,0-12,Овальная,Прямые,Низкая,Средние,Блонд,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Уже длинные,Нет,Раз в месяц
Помпадур,29-45,Овальная,Волнистые,Низкая,Длинные,Блонд,10-30,Спортивный/Активный,Минималист,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Ман-бун,19-28,Треугольная,Прямые,Средняя,Длинные,Блонд,10-30,Спортивный/Активный,Экспериментатор,Среднее,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Базз-кат,29-45,Ромбовидная,Прямые,Низкая,Короткие,Блонд,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Деловой,Да,Четкая-монолитная,Да,Уже длинные,Нет,Раз в месяц
Шэг,19-28,Квадратная,Прямые,Средняя,Средние,русый,25 минут ,Спортивный/Активный,Экспериментатор,Среднее,Спортивный,Да,Неряшливо-растрепанная,Да,Да,Нет,Редко
Крю-кат,19-28,Ромбовидная,Прямые,Средняя,Короткие,Блонд,0(не укладываете),Деловой,Экспериментатор,Спортивное,Casual,Да,Лёгкая,Да,Да,Нет,Никогда
Крю-кат,29-45,Овальная,Волнистые,Низкая,Короткие,Блонд,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Деловой,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Французкий кроп,29-45,Овальная,Прямые,Высокая,Короткие,Блонд,10-30,Спортивный/Активный,Смешанный,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Классика,29-45,Овальная,Прямые,Высокая,Короткие,Блонд,10-30,Спортивный/Активный,Минималист,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Каскад,46+,Овальная,Волнистые,Средняя,Длинные,Шатен,30 минут ,Деловой,Минималист,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Каскад,46+,Круглая,Волнистые,Средняя,Средние,Блонд,1-10,Деловой,Экспериментатор,Худощавое,Спортивный,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Крю-кат,46+,Прямоугольная,Волнистые,Средняя,Короткие,Блонд,1-10,Спортивный/Активный,Смешанный,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Базз-кат,0-12,Круглая,Волнистые,Средняя,Короткие,Шатен,0(не укладываете),Спортивный/Активный,Экспериментатор,Среднее,Casual,Да,Неряшливо-растрепанная,Нет,Уже длинные,Нет,Редко
Серферская укладка,13-18,Овальная,Прямые,Средняя,Средние,Брюнет,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Естественная,Да,Уже длинные,Нет,Никогда
Классика,0-12,Круглая,Волнистые,Средняя,Короткие,Седой,1-10,Спортивный/Активный,Смешанный,Спортивное,Спортивный,Да,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Каскад,29-45,Овальная,Прямые,Низкая,Средние,Блонд,30 минут ,Деловой,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Да,Нет,Раз в месяц
Шэг,29-45,Овальная,Прямые,Средняя,Средние,Шатен,30-40 минут ,Спортивный/Активный,Экспериментатор,Худощавое,Спортивный,Нет,Естественная,Да,Да,Нет,Никогда
Маллет,19-28,Ромбовидная,Волнистые,Низкая,Длинные,Блонд,30-40 минут ,Спортивный/Активный,Смешанный,Худощавое,Спортивный,Нет,Четкая-монолитная,Да,Да,Нет,Никогда
Базз-кат,0-12,Квадратная,Волнистые,Средняя,Короткие,Блонд,0(не укладываете),Творческий,Минималист,Худощавое,Деловой,Да,Естественная,Нет,Нет,Нет,Раз в месяц
Классика,0-12,Овальная,Волнистые,Средняя,Короткие,Шатен,0(не укладываете),Спортивный/Активный,Экспериментатор,Среднее,Деловой,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Классика,13-18,Прямоугольная,Волнистые,Средняя,Средние,Шатен,30 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Шэг,29-45,Овальная,Прямые,Средняя,Длинные,Блонд,30 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Деловой,Да,Четкая-монолитная,Да,Уже длинные,Нет,Никогда
Классика,13-18,Треугольная,Прямые,Низкая,Короткие,Брюнет,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Никогда
Помпадур,0-12,Квадратная,Кудрявые,Средняя,Средние,Блонд,30-40 минут ,Спортивный/Активный,Экспериментатор,Худощавое,Спортивный,Да,Лёгкая,Да,Нет,Нет,Никогда
Шэг,13-18,Овальная,Прямые,Средняя,Средние,Блонд,1-10,Спортивный/Активный,Смешанный,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Базз-кат,19-28,Прямоугольная,Прямые,Средняя,Короткие,Брюнет,10-30,Спортивный/Активный,Минималист,Спортивное,Уличный,Да,Естественная,Да,Нет,Нет,Раз в месяц
Базз-кат,0-12,Овальная,Прямые,Низкая,Короткие,Брюнет,1-10,Спортивный/Активный,Экспериментатор,Среднее,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Андеркат,0-12,Квадратная,Прямые,Средняя,Средние,Блонд,10-30,Творческий,Экспериментатор,Среднее,Casual,Да,Неряшливо-растрепанная,Нет,Да,Нет,Раз в месяц
Базз-кат,29-45,Прямоугольная,Прямые,Средняя,Короткие,Блонд,0(не укладываете),Деловой,Минималист,Спортивное,Уличный,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Серферская укладка,19-28,Квадратная,Волнистые,Средняя,Длинные,Брюнет,20,Спортивный/Активный,Экспериментатор,Худощавое,Полу классика ,Да,Естественная,Да,Нет,Нет,Никогда
Помпадур,19-28,Ромбовидная,Прямые,Средняя,Длинные,Блонд,30-40 минут ,Творческий,Минималист,Спортивное,Спортивный,Нет,Четкая-монолитная,Да,Нет,Нет,Никогда
Классика,0-12,Квадратная,Прямые,Высокая,Короткие,Блонд,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Крю-кат,0-12,Овальная,Прямые,Средняя,Короткие,Блонд,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Деловой,Да,Неряшливо-растрепанная,Да,Да,Нет,Никогда
Андеркат,29-45,Круглая,Прямые,Высокая,Короткие,Брюнет,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Деловой,Да,Неряшливо-растрепанная,Да,Да,Нет,Никогда
Андеркат,46+,Овальная,Волнистые,Средняя,Средние,Брюнет,10-30,Деловой,Минималист,Среднее,Casual,Нет,Естественная,Нет,Нет,Нет,Никогда
Шторки,19-28,Квадратная,Кудрявые,Низкая,Длинные,Шатен,25 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Базз-кат,19-28,Овальная,Волнистые,Средняя,Короткие,Брюнет,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Базз-кат,0-12,Овальная,Прямые,Средняя,Короткие,Шатен,10-30,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Каскад,29-45,Ромбовидная,Волнистые,Средняя,Длинные,Шатен,25 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Деловой,Да,Четкая-монолитная,Нет,Нет,Нет,Редко
Шэг,0-12,Треугольная,Волнистые,Средняя,Средние,Блонд,25 минут ,Спортивный/Активный,Смешанный,Спортивное,Casual,Нет,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Шэг,19-28,Овальная,Волнистые,Высокая,Средние,Шатен,10-30,Спортивный/Активный,Экспериментатор,Среднее,Спортивный,Да,Естественная,Да,Нет,Нет,Никогда
Шэг,19-28,Прямоугольная,Волнистые,Средняя,Длинные,Рыжий,25 минут ,Деловой,Экспериментатор,Худощавое,Casual,Нет,Четкая-монолитная,Да,Да,Нет,Редко
Французкий кроп,13-18,Овальная,Волнистые,Средняя,Короткие,Блонд,10-30,Деловой,Экспериментатор,Спортивное,Casual,Да,Естественная,Нет,Нет,Нет,Раз в месяц
Французкий кроп,19-28,Треугольная,Волнистые,Низкая,Короткие,Шатен,0(не укладываете),Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Да,Нет,Раз в месяц
Шторки,13-18,Овальная,Волнистые,Средняя,Длинные,Блонд,30-40 минут ,Спокойный,Минималист,Спортивное,Спортивный,Нет,Четкая-монолитная,Нет,Уже длинные,Нет,Раз в месяц
Шэг,0-12,Квадратная,Прямые,Низкая,Длинные,Шатен,30 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Уличный,Да,Естественная,Да,Нет,Нет,Раз в месяц
Крю-кат,19-28,Овальная,Волнистые,Средняя,Короткие,Брюнет,10-30,Деловой,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Классика,13-18,Ромбовидная,Прямые,Высокая,Короткие,Брюнет,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Крю-кат,19-28,Квадратная,Волнистые,Низкая,Короткие,Брюнет,0(не укладываете),Деловой,Экспериментатор,Худощавое,Спортивный,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Базз-кат,46+,Квадратная,Волнистые,Низкая,Короткие,Брюнет,0(не укладываете),Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Четкая-монолитная,Нет,Нет,Нет,Никогда
Маллет,0-12,Ромбовидная,Прямые,Низкая,Средние,Блонд,1-10,Спортивный/Активный,Минималист,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Редко
Шэг,13-18,Треугольная,Прямые,Низкая,Средние,Рыжий,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Нет,Естественная,Да,Нет,Нет,Раз в месяц
Каскад,13-18,Круглая,Волнистые,Средняя,Длинные,Рыжий,25 минут ,Спокойный,Экспериментатор,Худощавое,Спортивный,Да,Четкая-монолитная,Да,Нет,Нет,Редко
Крю-кат,29-45,Овальная,Волнистые,Средняя,Короткие,Шатен,1-10,Спокойный,Минималист,Спортивное,Casual,Да,Естественная,Да,Уже длинные,Нет,Никогда
Маллет,13-18,Ромбовидная,Волнистые,Средняя,Длинные,Блонд,30 минут ,Спортивный/Активный,Экспериментатор,Среднее,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Помпадур,0-12,Ромбовидная,Волнистые,Средняя,Длинные,Шатен,30-40 минут ,Деловой,Минималист,Спортивное,Спортивный,Да,Естественная,Нет,Нет,Нет,Раз в месяц
Маллет,13-18,Ромбовидная,Волнистые,Средняя,Средние,Рыжий,1-10,Творческий,Минималист,Спортивное,Уличный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Французкий кроп,19-28,Квадратная,Волнистые,Высокая,Короткие,Шатен,1-10,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Нет,Естественная,Да,Нет,Нет,Редко
Шэг,13-18,Овальная,Прямые,Высокая,Средние,Блонд,1-10,Спортивный/Активный,Смешанный,Среднее,Casual,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Классика,13-18,Овальная,Волнистые,Низкая,Короткие,Блонд,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Никогда
Базз-кат,29-45,Овальная,Прямые,Низкая,Короткие,Блонд,0(не укладываете),Спокойный,Смешанный,Худощавое,Casual,Нет,Естественная,Нет,Уже длинные,Нет,Редко
Базз-кат,0-12,Круглая,Прямые,Низкая,Короткие,Шатен,0(не укладываете),Спокойный,Экспериментатор,Спортивное,Спортивный,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Серферская укладка,29-45,Квадратная,Прямые,Низкая,Средние,Седой,10-30,Спортивный/Активный,Смешанный,Спортивное,Casual,Да,Неряшливо-растрепанная,Нет,Уже длинные,Нет,Никогда
Крю-кат,0-12,Ромбовидная,Волнистые,Низкая,Короткие,Рыжий,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Деловой,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Классика,13-18,Овальная,Волнистые,Средняя,Средние,Брюнет,30 минут ,Спокойный,Экспериментатор,Спортивное,Casual,Нет,Естественная,Да,Уже длинные,Нет,Раз в месяц
Французкий кроп,19-28,Квадратная,Прямые,Низкая,Короткие,Блонд,1-10,Деловой,Смешанный,Спортивное,Спортивный,Да,Естественная,Да,Нет,Нет,Раз в месяц
Базз-кат,19-28,Овальная,Волнистые,Средняя,Короткие,Блонд,10-30,Спортивный/Активный,Минималист,Спортивное,Casual,Да,Четкая-монолитная,Нет,Нет,Нет,Редко
Шэг,29-45,Овальная,Волнистые,Средняя,Средние,Шатен,1-10,Творческий,Минималист,Спортивное,Casual,Нет,Естественная,Да,Нет,Нет,Раз в месяц
Крю-кат,46+,Овальная,Волнистые,Средняя,Короткие,Шатен,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Уличный,Нет,Неряшливо-растрепанная,Нет,Да,Нет,Никогда
Каскад,29-45,Овальная,Волнистые,Средняя,Длинные,Рыжий,30-40 минут ,Спортивный/Активный,Минималист,Спортивное,Casual,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Никогда
Базз-кат,19-28,Овальная,Прямые,Средняя,Короткие,Блонд,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Естественная,Нет,Нет,Нет,Редко
Базз-кат,46+,Квадратная,Волнистые,Низкая,Короткие,Брюнет,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Шэг,29-45,Прямоугольная,Волнистые,Средняя,Длинные,Седой,25 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Каскад,13-18,Квадратная,Спиральные,Низкая,Средние,Брюнет,30 минут ,Деловой,Минималист,Худощавое,Деловой,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Андеркат,0-12,Овальная,Прямые,Низкая,Средние,Брюнет,10-30,Спортивный/Активный,Смешанный,Спортивное,Casual,Нет,Естественная,Да,Уже длинные,Нет,Никогда
Маллет,13-18,Овальная,Прямые,Низкая,Длинные,Шатен,30-40 минут ,Деловой,Экспериментатор,Среднее,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Шэг,19-28,Квадратная,Волнистые,Низкая,Средние,Блонд,30-40 минут ,Спортивный/Активный,Минималист,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Базз-кат,13-18,Треугольная,Прямые,Средняя,Короткие,Рыжий,1-10,Спортивный/Активный,Экспериментатор,Худощавое,Спортивный,Да,Естественная,Да,Уже длинные,Нет,Никогда
Маллет,19-28,Овальная,Прямые,Низкая,Длинные,Рыжий,30-40 минут ,Творческий,Экспериментатор,Спортивное,Уличный,Да,Неряшливо-растрепанная,Да,Уже длинные,Нет,Никогда
Крю-кат,29-45,Прямоугольная,Волнистые,Высокая,Короткие,Блонд,1-10,Спокойный,Смешанный,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Да,Нет,Никогда
Французкий кроп,13-18,Круглая,Прямые,Средняя,Короткие,Седой,1-10,Спокойный,Экспериментатор,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Крю-кат,19-28,Ромбовидная,Волнистые,Средняя,Короткие,Блонд,0(не укладываете),Спортивный/Активный,Смешанный,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Шторки,29-45,Овальная,Кудрявые,Низкая,Длинные,Рыжий,10-30,Спортивный/Активный,Экспериментатор,Худощавое,Уличный,Да,Четкая-монолитная,Да,Уже длинные,Нет,Раз в месяц
Шторки,13-18,Круглая,Прямые,Низкая,Длинные,Блонд,10-30,Творческий,Смешанный,Худощавое,Спортивный,Нет,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Шторки,19-28,Квадратная,Волнистые,Высокая,Длинные,Брюнет,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Андеркат,19-28,Прямоугольная,Волнистые,Средняя,Короткие,Блонд,0(не укладываете),Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Маллет,0-12,Овальная,Волнистые,Средняя,Длинные,Рыжий,30-40 минут ,Спортивный/Активный,Минималист,Худощавое,Casual,Да,Лёгкая,Да,Нет,Нет,Никогда
Крю-кат,29-45,Квадратная,Волнистые,Высокая,Короткие,Седой,0(не укладываете),Деловой,Экспериментатор,Среднее,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Классика,19-28,Квадратная,Кудрявые,Низкая,Короткие,Шатен,1-10,Спокойный,Минималист,Спортивное,Casual,Нет,Неряшливо-растрепанная,Да,Уже длинные,Нет,Никогда
Шэг,46+,Овальная,Прямые,Низкая,Длинные,Блонд,30 минут ,Деловой,Экспериментатор,Среднее,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Редко
Андеркат,19-28,Овальная,Кудрявые,Низкая,Короткие,Брюнет,1-10,Деловой,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Нет,Уже длинные,Нет,Редко
Шэг,29-45,Овальная,Прямые,Средняя,Средние,Блонд,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Уличный,Да,Четкая-монолитная,Да,Уже длинные,Нет,Редко
Крю-кат,46+,Овальная,Прямые,Низкая,Короткие,Седой,10-30,Спортивный/Активный,Смешанный,Плотное,Casual,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Редко
Классика,0-12,Треугольная,Кудрявые,Средняя,Средние,Шатен,10-30,Спокойный,Минималист,Среднее,Casual,Нет,Естественная,Нет,Да,Нет,Раз в месяц
Крю-кат,0-12,Овальная;Круглая;Квадратная,Прямые,Средняя,Короткие,Шатен,1-10,Творческий,Смешанный,Спортивное,Уличный,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Классика,46+,Овальная,Прямые,Низкая,Средние,Шатен,10-30,Деловой,Смешанный,Среднее,Casual,Да,Естественная,Нет,Нет,Нет,Никогда
Крю-кат,13-18,Овальная,Прямые,Низкая,Короткие,Брюнет,0(не укладываете),Спокойный,Экспериментатор,Худощавое,Casual,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Маллет,13-18,Овальная,Прямые,Средняя,Длинные,Шатен,10-30,Деловой,Экспериментатор,Спортивное,Спортивный,Да,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Шэг,19-28,Овальная,Прямые,Средняя,Длинные,Шатен,30 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Шэг,29-45,Ромбовидная,Волнистые,Высокая,Длинные,Брюнет,10-30,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Маллет,46+,Ромбовидная,Волнистые,Средняя,Длинные,Шатен,25 минут ,Спортивный/Активный,Смешанный,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Андеркат,13-18,Овальная,Прямые,Низкая,Средние,Блонд,30 минут ,Спортивный/Активный,Экспериментатор,Среднее,Уличный,Да,Четкая-монолитная,Нет,Нет,Нет,Никогда
Каскад,13-18,Прямоугольная,Прямые,Высокая,Средние,Шатен,10-30,Деловой,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Нет,Нет,Нет,Редко
Андеркат,29-45,Ромбовидная,Волнистые,Низкая,Короткие,Шатен,10-30,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Шторки,19-28,Прямоугольная,Прямые,Средняя,Длинные,Блонд,30-40 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Уличный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Шторки,13-18,Овальная,Прямые,Высокая,Длинные,Брюнет,10-30,Спортивный/Активный,Минималист,Спортивное,Деловой,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Шторки,13-18,Квадратная,Прямые,Низкая,Длинные,Шатен,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Серферская укладка,0-12,Ромбовидная,Прямые,Низкая,Средние,Блонд,1-10,Спортивный/Активный,Смешанный,Спортивное,Casual,Нет,Неряшливо-растрепанная,Да,Да,Нет,Раз в месяц
Шэг,19-28,Квадратная,Прямые,Низкая,Средние,Шатен,25 минут ,Деловой,Экспериментатор,Спортивное,Спортивный,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Крю-кат,19-28,Прямоугольная,Прямые,Средняя,Короткие,Шатен,0(не укладываете),Деловой,Смешанный,Спортивное,Casual,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Редко
Маллет,46+,Овальная,Прямые,Средняя,Средние,Брюнет,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Уже длинные,Нет,Раз в месяц
